Signal, Bid (sell price), Ask (buy price), Max Close in 240 Hour(s), Target, Time
1, 1.33157, 1.33187, 1.36391, 2.40618217592767, 2013.01.23 00:00:00
1, 1.33138, 1.33184, 1.36391, 2.408778861031414, 2013.01.22 00:00:00
1, 1.33476, 1.33525, 1.36167, 1.979382061194514, 2013.01.21 00:00:00
1, 1.33188, 1.33218, 1.35706, 1.868036159413762, 2013.01.20 00:00:00
1, 1.33195, 1.33253, 1.34879, 1.220766545290735, 2013.01.18 00:00:00
1, 1.33804, 1.33852, 1.34629, 0.580700128546236, 2013.01.17 00:00:00
1, 1.32811, 1.32852, 1.34629, 1.337991582022561, 2013.01.16 00:00:00
1, 1.32877, 1.32918, 1.34629, 1.287657006103386, 2013.01.15 00:00:00
0, 1.33569, 1.33617, 1.33804, 0.1400025455008135, 2013.01.14 00:00:00
0, 1.3395, 1.33996, 1.33804, -0.1433370660694396, 2013.01.13 00:00:00
0, 1.33416, 1.33462, 1.3395, 0.3657732206032423, 2013.01.11 00:00:00
1, 1.32581, 1.32608, 1.3395, 1.012211402840544, 2013.01.10 00:00:00
1, 1.30474, 1.30504, 1.3395, 2.641139230804617, 2013.01.09 00:00:00
1, 1.30731, 1.30761, 1.3395, 2.439360212956391, 2013.01.08 00:00:00
1, 1.31258, 1.3129, 1.3395, 2.026543144036932, 2013.01.07 00:00:00
1, 1.30498, 1.30523, 1.3395, 2.626093886496346, 2013.01.06 00:00:00
1, 1.30677, 1.30723, 1.3395, 2.469447569197353, 2013.01.04 00:00:00
1, 1.30299, 1.30346, 1.3395, 2.765946016469834, 2013.01.03 00:00:00
1, 1.31391, 1.31444, 1.3395, 1.907284364986971, 2013.01.02 00:00:00
0, 1.32713, 1.32802, 1.33416, 0.462652490713045, 2013.01.01 00:00:00
1, 1.31964, 1.31994, 1.32713, 0.5448455639416834, 2012.12.31 00:00:00
0, 1.32108, 1.32138, 1.32713, 0.435249947013044, 2012.12.30 00:00:00
0, 1.32146, 1.32196, 1.32713, 0.39123393821984, 2012.12.28 00:00:00
0, 1.3242, 1.32456, 1.32713, 0.1940794441927172, 2012.12.27 00:00:00
0, 1.32308, 1.32338, 1.32713, 0.2834295734195906, 2012.12.26 00:00:00
1, 1.3187, 1.319, 1.32713, 0.6165162660195624, 2012.12.24 00:00:00
1, 1.31822, 1.31852, 1.32713, 0.6531534948642872, 2012.12.23 00:00:00
1, 1.31867, 1.31898, 1.32713, 0.6180469715698302, 2012.12.21 00:00:00
1, 1.31921, 1.31964, 1.32713, 0.5677640406000558, 2012.12.20 00:00:00
0, 1.32244, 1.32299, 1.3242, 0.09149753485979956, 2012.12.19 00:00:00
0, 1.32508, 1.32534, 1.3242, -0.08603254143145463, 2012.12.18 00:00:00
1, 1.31697, 1.31729, 1.32508, 0.5915092978579591, 2012.12.17 00:00:00
1, 1.31536, 1.31562, 1.32508, 0.7191947451648236, 2012.12.16 00:00:00
1, 1.31622, 1.31654, 1.32508, 0.6488277035753896, 2012.12.14 00:00:00
1, 1.3083, 1.30874, 1.32508, 1.248949017809373, 2012.12.13 00:00:00
1, 1.3084, 1.30886, 1.32508, 1.239682054417619, 2012.12.12 00:00:00
1, 1.30029, 1.30059, 1.32508, 1.883426004968132, 2012.12.11 00:00:00
1, 1.29324, 1.29354, 1.32508, 2.438835792273679, 2012.12.10 00:00:00
1, 1.28983, 1.29023, 1.32508, 2.701906452788355, 2012.12.09 00:00:00
1, 1.29261, 1.29313, 1.32508, 2.471743217211682, 2012.12.07 00:00:00
1, 1.29671, 1.29713, 1.31697, 1.530025988848691, 2012.12.06 00:00:00
1, 1.30521, 1.3057, 1.31622, 0.8060005669585633, 2012.12.05 00:00:00
0, 1.31136, 1.31166, 1.31622, 0.3477306002928179, 2012.12.04 00:00:00
0, 1.30617, 1.30647, 1.31136, 0.3743769953375181, 2012.12.03 00:00:00
1, 1.30398, 1.30438, 1.31136, 0.5352842835012966, 2012.12.02 00:00:00
1, 1.29848, 1.29882, 1.31136, 0.9657445628735132, 2012.11.30 00:00:00
